name,address,phones,cuisine,category,working_hours,avg_cost_2_people,features,description,facebook,instagram,twitter,foursquare,email,latitude,longitude,images,url
Noosh,"Babək prospekti, 11/31",012 4880694,Azərbaycan,Restoranlar,12:00 - 00:00,15-20,Fon musiqisi; İçkilər; Kredit kartla ödəniş; Masaların sifarişi; Take Away; Park xidməti,"Noosh restoranı – “Babek Plaza” biznes mərkəzinin birinci mərtəbəsində yerləşir. Onun fərqləndirici cəhəti gözəl mətbəxin, füsünkar interyerin və yüksək səviyyəli xidmətin ahəngindədir. Qeyd edək ki, Azərbaycan mətbəxi təqdimata ehtiyacı olmayan bir brenddir. Noosh restoranının menyusu klassik Azərbaycan mətbəxinin reseptlərinə əsaslanıb. Burada ən nazik qutab, ətirli plov, ənənəvi dolma və piti, kabab, xaşlama və hətta sacda bişirilmiş yeməklər, həmçinin bütün dünyada məşhur olan Azərbaycan desertləri var. Bunlardan əlavə qonaqlara Drinks Menu-dan bol-bol spirtli və spirtsiz içkilər, müəllif kokteyllər və şeyklər təklif olunacaq. Nahar zamanı restoran qonaqlara biznes-lanç kompleks menyu təklif edəcək. Hamı öz zövgünə uyğununu seçə biləcək. Noosh restoranına bir dəfə gələn buraya dəfələrlə qayıtmağı arzulayacaq.",https://www.facebook.com/nooshrest/timeline,https://www.instagram.com/nooshrestaurant/,,,,40.3883782,49.8704633,https://bakuguide.com/images/places/856/noosh-1.jpg; https://bakuguide.com/images/places/856/noosh-2.png; https://bakuguide.com/images/places/856/noosh-3.png; https://bakuguide.com/images/places/856/noosh-4.png; https://bakuguide.com/images/places/856/noosh-5.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/856-noosh
MAYA Mexican Restaurant & Bar,Dövlət Bayraq Meydanı Kompleksi,012 4048216,Meksika,Restoranlar,12:00 - 00:00,,Canlı musiqi; Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Take Away; Qəlyan; Park xidməti,"Meksika mətbəxinin ləziz təamlarını şəhərimizdə də dadmaq istəyirsinizsə, Maya Mexican restoranı ideal seçimdir. İsti yay aylarında restoranın terrasında dostlarınız və ya ailəniz ilə bərabər gözəl gün keçirə bilərsiniz. Restoranın müasir dizaynı gələn qonaqlara isti abu-hava yaşadacaq. Yeməkləri isə əsl siz istəyən ləzzətə və damaq zövqünüzə uyğundur.",https://www.facebook.com/MayaRestaurantBar/timeline,,,,,40.3392865,49.8359601,https://bakuguide.com/images/places/857/maya-mexican-restaurant-bar-1.jpg; https://bakuguide.com/images/places/857/maya-mexican-restaurant-bar-2.png; https://bakuguide.com/images/places/857/maya-mexican-restaurant-bar-3.png; https://bakuguide.com/images/places/857/maya-mexican-restaurant-bar-4.png; https://bakuguide.com/images/places/857/maya-mexican-restaurant-bar-5.png; https://bakuguide.com/images/places/857/maya-mexican-restaurant-bar-6.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/857-maya-mexican-restaurant-bar
PIVNAYA APTEKA,"Neftçilər pr., 153, Port Baku Residency",012 4048218,Beynəlmiləl; Fast food,Restoranlar,12:00 - 02:00,,Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Park xidməti,"Pivnaya Apteka – sizə nəfis alkoqol içkilər dünyasını təzədən anlamaq üçün imkan verməyə hazır yeni komfortlu bardır.  Saysız pivə növlərindən ibarət olan assortimentimiz bu içkinin hətta ən qədirbilən insanların da zövqlərinə qənaət edəcək.
Həmçinin, başqa məhşur spirtli içki sevənlərini də bizdə çoxlu sürprizlər gözləyir – sizin üçün: çoxlu sayda araq növü, eləcə də, xüsusi və ətirli qarışımlar,hansıları biz heç bir resept olmadan verməyə hazırıq.
Pivnaya Apteka – həm sakit və komfortlu şam yeməyi üçün, həm də böyük kompaniya ilə görüş üçün mükəmməl bir məkandı.
Bizimlə soyuq havalardan narahat olmaqa artıq dəyməz, çünki təcili  istiləşici yardım həmişəkidən daha da yaxın olacaq!",https://www.facebook.com/PivnayaApteka/timeline,,,,,40.3757866,49.8569977,https://bakuguide.com/images/places/858/apteka2.jpg; https://bakuguide.com/images/places/858/apteka1.png; https://bakuguide.com/images/places/858/apteka3.png; https://bakuguide.com/images/places/858/apteka5.jpg; https://bakuguide.com/images/places/858/apteka.png; https://bakuguide.com/images/places/858/apteka4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/858-pivnaya-apteka
Cafe Plaza,"Nizami küç., 69 (İSR Plaza)",050 3359111,İtaliya,Restoranlar,09:00-00:00,15-30,Fon musiqisi; İçkilər; Wi-Fi; Masaların sifarişi,"İtalyan yeməyi barədə danışarkən, ağlımıza gələn ilk yeməklər, pendir, bir çox tərəvəz növləri, ədviyyatlar, makaron, şərab və pizzadır. Pizza və makaronu bir çox restoranlarda və evdə hazırlayıb dadmışıq. Ancaq, əsil İtalyan ənənələrinə sadiq qalaraq hazırlanan İtalyan mətbəxinin ləziz təamlarının dadına Cafe Plazada baxa bilərsiniz. 2013-cü ildən etibarən fəalliyətdə olan Cafe Plaza həm İtalyan mətbəxini sevərlərin, həm şəhərimizə gələn qonaqların, həm də ağız dadını tez-tez dəyişənlərin sevimli məkanıdır.",https://www.facebook.com/cafeplazabaku/timeline,,,,,40.3717172,49.8345247,https://bakuguide.com/images/places/859/cafe1-655.jpg; https://bakuguide.com/images/places/859/cafe-525.png; https://bakuguide.com/images/places/859/cafe2-66.png; https://bakuguide.com/images/places/859/cafe3-566.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/859-cafe-plaza
Amburan Winter Garden,"Amburan Beach, Bilgəh  AZ1000 Bakı, Azərbaycan",012 4048893; 055 3005000,,Restoranlar,12:00-00:00,,,"Amburan Beach Club – ın sahəsində il boyu “Amburan Winter Garden” kompleksi fəaliyyət göstərir və 10 fərdi qonaq otağından, Bar & Louj və Teatr & Kabaredən ibarətdir. Bizim aşbazlarımız sizə milli və beynəlxalq mətbəxin ən gözəl xörəklərini təqdim edəcəklər.",/cdn-cgi/l/email-protection#07276e69616847666a65727566692964686a,,,,,40.5892571,50.061598,https://bakuguide.com/images/places/860/amburan1.png; https://bakuguide.com/images/places/860/amburan.png; https://bakuguide.com/images/places/860/amburan2.png; https://bakuguide.com/images/places/860/amburan3.png; https://bakuguide.com/images/places/860/amburan4.png; https://bakuguide.com/images/places/860/amburan5.png; https://bakuguide.com/images/places/860/amburan6.png; https://bakuguide.com/images/places/860/amburan7.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/860-amburan-winter-garden
Laduree,"Neftçilər pr., 151, Port Baku Mall (1-ci mərtəbə)",012 4048232,Desertlər; Fransız,Restoranlar,10:00-23:00,,Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Take Away; Park xidməti,"Laduree-nin tarixi Parisin çay evi tarixi Laduree ailəsi ilə sıx bağlıdır. Hər şey, 1862-ci ildə Fransanın cənub-qərbindən olan  dəyirmançı Ernest Laduree-nin Parisin Royale 13 küçəsində qənnadı açması ilə başlandı.
1871-ci ildə, Baron Haussmann Parisə yeni görünüş verərkən, qənnadıda olan yanğın, onun şirniyyat mağazasına çevrilməyi üçün imkanlar yaratdı.
Şirniyyat mağazasının dekorasiyası məşhur rəssam Jules Cherete –yə həvalə edildi.İkinci İmperiyanın hakimiyyəti dövründə kafelər inkişaf edib  dəbdəbəli bir yerə çevrilir və Parisin elit ictimaiyyətini özlərinə cəlb etməyə başlayırdılar.
Laduree Azərbaycan, onun ən gözəl qutularında saxlanılan makaron kolleksiyasını, Laduree Parisdən gələn qənnadçılar tərəfindən yerindəcə bişirilən şirniyyatlar və un məmulatları çesidini, alış - veriş çantalarını, delikateslərini , ətirli şamlarını və ev üçün ətirlərini təqdim edir.
Şirin və dadlı yeməklər ilə zəngin olan menyunun yaradılmasında, Laduree-nin qənnadçıları öz istedad və təcrübələrini istifadə ediblər.
Burada, siz həm özünüz, həm də hədiyyə üçün ləziz delikateslər tapa bilərsiniz, çünki Laduree üçün şirniyyat yalnız əyləncə yox, vaxta dəyərli yanaşma fəlsəfəsidir.
Laduree Azerbaycana ən gözəl qutularında saxlanılan məşhur makaronlarını, həmçinin şirniyyatlarını, çaylarını, cemlərini, ətirli şamlarını, dadlı və şirin yeməklər ilə zəngin olan menyusunu gətirir.
Bütün delikateslar həm özünüz, həm də başqaları üçün ideal hədiyyədir.",https://www.facebook.com/LadureeAzerbaijan/timeline,,,,,40.3756775,49.8598412,https://bakuguide.com/images/places/861/laduree2.png; https://bakuguide.com/images/places/861/laduree.png; https://bakuguide.com/images/places/861/laduree5.jpg; https://bakuguide.com/images/places/861/laduree1.png; https://bakuguide.com/images/places/861/laduree4.png; https://bakuguide.com/images/places/861/laduree9.png; https://bakuguide.com/images/places/861/laduree21.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/861-laduree
La Vida,"Dövlət Bayraq Meydanı Kompleksi  (Bakı buxtasının qarşısı)  Bakı, Azərbaycan",012 4048216,Meksika,Restoranlar,19:00 - 03:00,,Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş,,https://www.facebook.com/La-Vida-Tequila-Bar-1602994093251325/timeline,,,,,40.3392901,49.8376623,https://bakuguide.com/images/places/863/lavida1.png; https://bakuguide.com/images/places/863/lavida.png; https://bakuguide.com/images/places/863/lavida2.png; https://bakuguide.com/images/places/863/lavida3.png; https://bakuguide.com/images/places/863/lavida4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/863-la-vida
Paul,"Neftçilər pr., 153",012 4640770,Avropa,Restoranlar,08:00-23:00,,Fon musiqisi; İçkilər; Yay terrası; Wi-Fi; Səhər yeməyi; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar; Park xidməti,,https://www.facebook.com/PAUL.Azerbaijan,,,,,,,https://bakuguide.com/images/places/864/paul-174.png; https://bakuguide.com/images/places/864/paul2-453.png; https://bakuguide.com/images/places/864/paul4-659.png; https://bakuguide.com/images/places/864/paul5-481.png; https://bakuguide.com/images/places/864/paul1-442.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/864-paul
Bisque café,Neftçilər pr. 125,012 5989995,Avropa,Restoranlar,10:00 - 23:00,,Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi,"«Gündəlik» Frasanın rahatlığı və ecaskarləğı. Burada dostlarınızla ətirli çay içib, şirin söhbət edib, həmçinin də baş aşpazın təqdim etdiyi dadlı yemək əsərlərini dadmaqla vaxtınızı gözəl keçirmək olar. Xüsusi ləzzəti isə «Bisque Cafe»nin səhər yeməyindən ala bilərsiniz: iştahlı Vyana vaflisi, əsl amerika pankeyki, təzə bişirilmiş kruassanlar və bir çox digər ləzizlər – uğurlu və müsbət əhvalın 100% zəmanətidir. Yeri gəlmişkən, «bisque» sözü fransız dilindən tərcümədə sorba deməkdir və «Bisque Cafe»də onların özəl doyumlu yeri var. «Bisque Cafe»də görüşənədək!",https://www.facebook.com/BisqueCafe/timeline,,,,,40.3699349,49.8424157,https://bakuguide.com/images/places/865/bisque-caf-1.png; https://bakuguide.com/images/places/865/bisque-caf-2.png; https://bakuguide.com/images/places/865/bisque-caf-3.png; https://bakuguide.com/images/places/865/bisque-caf-4.png; https://bakuguide.com/images/places/865/bisque-caf-5.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/865-bisque-caf
Dalloyau,"Neftçilər prospekti, 111",012 4934010; 050 2656065,Fransız,Restoranlar,08:30:23:00,,Biznes lanç; Fon musiqisi; İçkilər; Wi-Fi; Səhər yeməyi; Kredit kartla ödəniş; Masaların sifarişi; Take Away,Fransız mətbəxinin ləziz şirniyyatları artıq Bakıda!,https://www.facebook.com/DalloyauBaku/timeline,,,,,40.3676331,49.8368919,https://bakuguide.com/images/places/866/dallou1.png; https://bakuguide.com/images/places/866/dallou6.jpg; https://bakuguide.com/images/places/866/dallou2.png; https://bakuguide.com/images/places/866/dallou.png; https://bakuguide.com/images/places/866/dallou8.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/866-dalloyau
Mangal Steak House,"Mirzə Mustafayev küç., 3",012 5051011; 012 2281011; 051 4140837,Avropa; Azərbaycan,Restoranlar,10:00 - 03:00,,Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Take Away; Park xidməti,,https://www.facebook.com/Mangal.Steak.House1/?fref=ts,,,,,40.3431833,49.8392361,https://bakuguide.com/images/places/867/mangal1.png; https://bakuguide.com/images/places/867/mangal2.png; https://bakuguide.com/images/places/867/mangal.png; https://bakuguide.com/images/places/867/mangal3.png; https://bakuguide.com/images/places/867/mangal5.png; https://bakuguide.com/images/places/867/mangal4.png; https://bakuguide.com/images/places/867/mangal6.png; https://bakuguide.com/images/places/867/mangal7.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/867-mangal-steak-house
QazmaQ,"İçəri Şəhər, Kiçik Qala, 124",012 5052226,Azərbaycan,Restoranlar,08:00 - 02:00,,Fon musiqisi; İçkilər; Yay terrası; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Qəlyan,"İçəri Şəhərdə yerləşən Qazmaq restoranı ləziz təamları ilə sayılıb-seçilən restorlardandır. Restoranının menyusu Azərbaycan milli mətbəxinin ləziz təamlarından ibarətdir. Bundan başqa, Qazmaq qonaqlara üç növ səhər yeməyini: Azərbaycan, Rus və Amerikan sayağı, habelə səhər yeməyinin sizin istəyinizə uyğun hazırlanma imkanı da təklif edir.",https://www.facebook.com/qazmaq,https://www.instagram.com/qazmaq/,,,,40.3685764,49.8334015,https://bakuguide.com/images/places/868/2-109.jpg; https://bakuguide.com/images/places/868/3-701.jpg; https://bakuguide.com/images/places/868/1-89.jpg; https://bakuguide.com/images/places/868/4-580.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/868-qazmaq
Avaz Dining & Lounge,"Moskva pr. (keçmiş Tibilisi pr.), 1058/32,",,Azərbaycan,Restoranlar,12:00 - 00:00,,Canlı musiqi; Fon musiqisi; İçkilər; Wi-Fi; VİP otaq; Kredit kartla ödəniş; Masaların sifarişi; Qəlyan; Sərbəst Wi-Fi; Çay dəstgahı; Park xidməti,"Keyfiyyətli musiqini, rahatlığı, milli mətbəxi sevənlər üçün yaradılan Avaz Dining & Lounge klub-restoran hər həftə sonu Sizə müxtəlif kollektivlərin ifasında canlı musiqi təklif edir. Bizdə bu üslublarda musiqilər səslənir: caz, etno-caz, muğam, həmçinin sintez.
Restoran-klubumuz iki hissəyə bölünür. Restoranda əyləşərək, ləzzətli milli mətbəxin  yeməklərinin dadına baxaraq musiqidən zövq ala bilər, və ya lounge zonada qəlyan çəkərək istrahət edə bilərsiniz.",https://www.facebook.com/Avaz.Baku,,,,,40.397659,49.8129988,https://bakuguide.com/images/places/869/avaz2.jpg; https://bakuguide.com/images/places/869/avaz1.png; https://bakuguide.com/images/places/869/avaz3.png; https://bakuguide.com/images/places/869/avaz.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/869-avaz-dining-lounge
Savalan,"Ə.Rəcəbli küç., 1 (Teatro Boutique Hotel)",012 4648100; 050 2641061,Avropa; Azərbaycan,Restoranlar,24 saat,,Canlı musiqi; Fon musiqisi; İçkilər; Kredit kartla ödəniş; Masaların sifarişi; Qəlyan; Park xidməti,"Savalan Restoranı – sizin və yaxınlarınız üçün rahat və komfortlu bir yerdir. Siz burada həftənin 7 günü və 24 saatı istirahət edib, həm də ləzzətli yeməklərdən dada bilərsiniz. Restoranın menyusu hər cəhətdən öz koloriti ilə fərqlənir. Yüksək peşəkarlıqla hazırlanan Şərq və Avropa mətbəxin yeməkləri, eləcə də, unudulmaz atmosfer və analoqu olmayan dizayn sizi və yaxınlarınızı biganə qoya bilməyəcək.",https://www.facebook.com/savalan.az/timeline,,,,,40.4098661,49.8602593,https://bakuguide.com/images/places/870/savalan.png; https://bakuguide.com/images/places/870/savalan1.png; https://bakuguide.com/images/places/870/savalan2.png; https://bakuguide.com/images/places/870/savalan3.png; https://bakuguide.com/images/places/870/savalan4.png; https://bakuguide.com/images/places/870/savalan5.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/870-savalan
Yuka Kaiten Sushi,"Xocalı pr., 14",012 4895582; 050 4701472,Sushi bar; Yapon,Restoranlar,12:00 - 00:00,,Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi,"Yapon mətbəxinin ən ləziz təamı Sushi, şəhərimizdə demək olar ki, hər kəsin sevimlisinə çevrilib.  Bu ləziz dadı, gözəl məkanda dostlarla birgə dadmaq fikrinə nə deyirsiniz? Əgər cavabınız müsbəstdirsə, Yuka Kaiten Sushi restoranı sizlərin yolunu gözləyir.",https://www.facebook.com/www.sushi.az/timeline,,,,,40.3818183,49.864626,https://bakuguide.com/images/places/871/yuka2.png; https://bakuguide.com/images/places/871/yuka1.png; https://bakuguide.com/images/places/871/yuka.png; https://bakuguide.com/images/places/871/yuka3.png; https://bakuguide.com/images/places/871/yuka4.png; https://bakuguide.com/images/places/871/yuka5.png; https://bakuguide.com/images/places/871/yuka6.png; https://bakuguide.com/images/places/871/yuka7.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/871-yuka-kaiten-sushi
Megapolis Club,Bakıxanov küçəsi 19,050 5505051,,Restoranlar,12:00 - 02:00,,,,https://www.facebook.com/MegapolisClub/timeline,,,,,40.389032,49.8324038,https://bakuguide.com/images/places/873/megapolis3.png; https://bakuguide.com/images/places/873/megapolis1.png; https://bakuguide.com/images/places/873/megapolis.png; https://bakuguide.com/images/places/873/megapolis4.png; https://bakuguide.com/images/places/873/megapolis7.png; https://bakuguide.com/images/places/873/megapolis6.png; https://bakuguide.com/images/places/873/megapolis8.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/873-megapolis-club
Zamok Lva,Mətbuat Prospekti 31/41,,Ukrayna,Restoranlar,12:00 - 00:00,,Kredit kartla ödəniş,"Ukrayna mətbəxinin ləziz təamlarını Zamok Lva restoranında dada bilərsiniz.  Hər gün saat 12:00-dan etibarən 00:00-a qədər xidmətinizdədir. Şəhərimizinin əziz qonaqları sizlərdə digər dövlətlərin mətbəxlərinin təamlarını, məhz bizim şəhərimizdə dadmaq istəyirsinizə, Zamok Lva restoranı sizlərin yolunu gözləyir.",https://www.facebook.com/zamoklva/timeline,,,,,,,https://bakuguide.com/images/places/874/zamok2.png; https://bakuguide.com/images/places/874/zamok1.png; https://bakuguide.com/images/places/874/zamok.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/874-zamok-lva
Nizami,Bül-bül prospekti 20,012 4980403; 051 4400403,Avropa; Çin,Restoranlar,11:00 - 23:45,,,,https://www.facebook.com/nizamilounge/timeline,,,,,,,https://bakuguide.com/images/places/875/nizami1.png; https://bakuguide.com/images/places/875/nizami3.png; https://bakuguide.com/images/places/875/nizami.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/875-nizami
White City Bar & Lounge,Ağ şəhər,012 3100010,,Kafelər,24 saat,,,"Bulvar Otelin lobbisində yerləşən White City Bar & Lounge qonaqlarını səhər yüngül qəhvəaltılar, günorta mükəmməl çay seçimləri və axşam araqlar, viski setləri və yaşlı romlarlayanaşı ləzzətli botaniki kokteyllər ilə qarşılayır.

Daha təmiz, təbii və sağlam şəhər arzusunda olan insanlardan ilhamlanaraq, eleqant modernist yaxt klub üslubunda ənənəvi və avant-qard dizayn günortalar optimist və mehriban, axşamlar isə lyuks və rahat mühit yaradaraq White City Bar & Lounge-u məşğul iş günündən sonra dəniz mənzərəli açıq terrasda dincəlmək üçün gözəl bir yer edir. 

White City Bar & Lounge heyəti Sizi salamlamağa səbirsizliklə gözləyir.",,,,,,40.3754085,49.8807917,https://bakuguide.com/images/places/876/res2.png; https://bakuguide.com/images/places/876/res1.png; https://bakuguide.com/images/places/876/res.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/876-white-city-bar-lounge
Black City,Ağ Şəhər,,,Kafelər,16:00-00:00,,,"Istedadlı aşpazlarımızın rəhbərliyi ilə Black City Café spirtli və spirtsiz içkilərin geniş seçimi əsasında müxtəlif növ qril edilmiş və hisə verilmiş New York üslublu rahat yemək çeşidləri ilə əsrarəngiz nahar təcrübəsini təqdim edir.

“Black City Café” rahat və eyni zamanda görkəmli Bruklin stilli bar və restoranı özündə əks etdirir. Biz fərqli mətbəxi tamamlamaq üçün ərazinin tarixinə və Qara Şəhər irsinə, 20-ci əsrdə yüksəlməkdə olan neft bumu simvollarına uyğun olan yaradıcı bir fon təşkil etmişik. Restoranın interyeri sənaye tullantıları ilə çirkləndirilmiş ərazinin yenidən canlanmasını əks etdirir.

İştahanızın sizi hara götürməsindən asılı olmayaraq Black City Cafe-də Siz yaradıcı, detallara diqqət və isti münasibət iləqarşılaşacaqsınız. Bura özəl tədbirlər və ya ailə ilə həftəsonu naharı keçirmək üçün əvəzolunmaz məkandır.",,,,,,40.3754085,49.8807917,https://bakuguide.com/images/places/877/black-830.png; https://bakuguide.com/images/places/877/black2-963.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/877-black-city
Green House Kitchen,Ağ şəhər,,,Restoranlar,,,,"Sağlam qidalanma konseptindən ruhlanaraq, Green House Kitchen təravətli meyvə və restoranın bağından dərilmiş göyərtilər ilə zəngin olan Aralıq dənizi mətbəxinin orqanik reseptlərini təqdim edir. Bənzərsiz dad qarışıqlıqlarının çoxşaxəli seçimləri ilə yanaşı, qonaqlar müxtəlif spirtli və spirtsiz içkilərdən də həzz ala bilərlər. 450-dək ziyarətçini qəbul etmək imkanında olan restoran qonaqlar üçün açıq mətbəxə malikdir.

Açıq mətbəx ərazisində xüsusi bitkilər və tərəvəzlərin əkildiyi canlı guşə və Aralıq dənizi mətbəxinin nümunələrinin təklif edildiyi salat guşəsi, kömürlü qril və odunla işləyən təndir restorana xüsusi gözəllik verir. Açıq havadakı və müxtəlif bitkilərlə bəzədilmiş geniş terras Xəzər Dənizinə açılan mənzərə ilə şəhər daxilində rezort hissi yaradır. Restoranın interyeri təbiətin gözəlliyini ehtiva etməklə “Baku White City” ərazisinin Xəzər dənizi sahilində yerləşən ekoloji baxımdan təmiz və ən cazibədar əraziyə çevrilməsi tarixini təcəssüm etdirir.

Mehriban və rahat atmosfer Green House Kitchen-ı dostlar və ya iş yoldaşlarıyla görüşmək, bir içəcəkdən həzz almaq və yüngül nahar üçün mükəmməl bir yerə çevirir.",http://www.boulevardhotelbaku.com/az/restoran-v%C9%99-bar/green-house-kitchen,,,,,40.3754085,49.8807917,https://bakuguide.com/images/places/878/resor1-691.png; https://bakuguide.com/images/places/878/resor33-106.png; https://bakuguide.com/images/places/878/resor-994.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/878-green-house-kitchen
Gate 25,"Xocalı pr., 37 b",050 2992525,Beynəlmiləl,Restoranlar,15:00-01:00,15-60 azn,Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Park xidməti,Gate 25 - Bütün problemlərdən uzaqlaşmaq üçün düzgün seçimdir. Burada siz özünüzü doğma evinizdəki kimi rahat və xoşbəxt hiss edəcəksiniz.,https://www.facebook.com/restaurantgate25/timeline,https://www.instagram.com/gate25_restaurant/,,,,40.3830938,49.8693463,https://bakuguide.com/images/places/879/1-536.jpg; https://bakuguide.com/images/places/879/3-465.jpg; https://bakuguide.com/images/places/879/2-896.jpg; https://bakuguide.com/images/places/879/4-738.jpg; https://bakuguide.com/images/places/879/5-889.jpg; https://bakuguide.com/images/places/879/7-771.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/879-gate-25
Restoranoff 145,"Neftçilər pr.,115",012 4932898,Aralıq dənizi; Dəniz; Fransız; İtaliya; Rus; Yunan,Restoranlar,11:00- 02:00,,Biznes lanç; Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Take Away; Qəlyan; Park xidməti,"2003-cü ildə şəhərimizdə, milli üslubda dizayn olunmuş və İtaliya, Rus, Aralıq dənizi, Fransız, Yunan mətbəxləninin ləziz təamları hazırlanan, xidməti ilə bütün müştəriləri özünə cəlb edib, razı salan restoran açıldı.  13 il keçməyinə baxmayaraq Restoranoff 145 xidməti və ləziz təamları ilə bütün müştərilərin ilk gün ki, kimi gülərüz və qonaqpərvərlikləri ilə qarşılayırlar.",https://www.facebook.com/Restoranoff-145-349991171857650/timeline,,,,,40.3743531,49.8566661,https://bakuguide.com/images/places/880/rest1.png; https://bakuguide.com/images/places/880/rest.png; https://bakuguide.com/images/places/880/rest3.png; https://bakuguide.com/images/places/880/rest4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/880-restoranoff-145
1001 Gecə,Şixov qəsəbəsi,012 5813161; 050 6116000,Avropa; Azərbaycan,Restoranlar,11:00-00:00,15-20,Biznes lanç; Canlı musiqi; Fon musiqisi; İçkilər; Yay terrası; Səhər yeməyi; Kredit kartla ödəniş; Masaların sifarişi,"Dəniz sahilində yerləşən 1001 Gece restoranı artıq uzun müddətdir ki, çimərlik restoranına çevrilib. Burada taxta çardaqlar, ikinci mərtəbədə geniş açıq terras, dəniz istirahəti üçün hər bir şəraiti olan çimərlik mövcuddur. Məkan çimərlik əyləncə gecəsi, açıq havada yay banketi, sadəcə bazar günləri dəniz istirahəti üçün uyğundur. Burada, dəniz sahilində yaxşı nahar etmək, desertlə təzə çay içmək hər kəsin ürəyincə olacaq.",,,,,,,,https://bakuguide.com/images/places/881/1001gece.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/881-1001-gece
Ajda,"N. Rəfibəyli küç., 20",012 5055334; 050 4303020,Türk,Kafelər,09:00-02:00,10-20,Fon musiqisi; İçkilər; Yay terrası; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi,"""Ajda Kafe"" - nin məftunedici və sakit atmosferi, gözəl terrasında hər axşam səslənən canlı musiqisi, peşakar xidməti, yorucu və stressli iş günündən sonra dincəlmək üçün əla seçimdir! Müştərilərinə Türk mətbəxinin hər növ qəhvəsini, ətirli və əvəzolunmaz çayını, özəl reseptlərlə hazırlanmış şirniyyatları, sendviçlərini təklif edən gülərüz personal Sizləri səbirsizliklə gözləyir!",https://www.facebook.com/AjdaBaku/timeline,,,,,40.3709622,49.8333867,https://bakuguide.com/images/places/882/ajda.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/882-ajda
Bulud Restaurant & Lounge,Heydər Əliyev pr. 1,050 5660747; 012 5660747,Fransız; İtaliya,Restoranlar,11:00 - 23:45,,,"Avropa mətbəxinin ləziz təamlarını dadmaq üçün fisunkar dizayna malik restoran axtarışındasınızsa, çoxda uzağa getməyə ehtiyac yoxdur. Heydər Əliyev pr. 1 ünvanında yerləşən Bulud Restaurant & Lounge gələrək gözəl gün keçirib, ləziz təamlardan dada bilərsiniz.",https://www.facebook.com/BuludLounge/timeline,,,,,40.3933327,49.8632352,https://bakuguide.com/images/places/884/bulud.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/884-bulud-restaurant-lounge
